DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location
2,Tuesday,11AM,2PM,13MFF-0102,Assessors Block 3941/Lot001,"Setup at 699 Illinois St. 9:00am-9:10am(M-F), 1:20pm-1:35pm(M-F)","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437210,,11:00,14:00,7166000,06/07/2011 12:10:31 PM,06/07/2011 12:11:04 PM,3941,001,Y,Natan's Catering,6016208.818,2106421.254,37.764741322675,-122.387124812179,
2,Tuesday,3PM,4PM,13MFF-0102,Assessors Block 3941/Lot001,"Setup at 699 Illinois St. 9:00am-9:10am(M-F), 1:20pm-1:35pm(M-F)","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437210,,15:00,16:00,7166000,06/07/2011 12:10:31 PM,06/07/2011 12:11:04 PM,3941,001,Y,Natan's Catering,6016208.818,2106421.254,37.764741322675,-122.387124812179,
2,Tuesday,10AM,11AM,15MFF-0119,Assessors Block 3941/Lot001,"Setup at 699 Illinois St. 9:00am-9:10am(M-F), 1:20pm-1:35pm(M-F)","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",645798,,10:00,11:00,7166000,06/07/2011 12:10:31 PM,06/07/2011 12:11:04 PM,3941,001,Y,Natan's Catering,6016208.818,2106421.254,37.764741322675,-122.387124812179,
2,Tuesday,11AM,2PM,15MFF-0119,Assessors Block 3941/Lot001,"Setup at 699 Illinois St. 9:00am-9:10am(M-F), 1:20pm-1:35pm(M-F)","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",645798,,11:00,14:00,7166000,06/07/2011 12:10:31 PM,06/07/2011 12:11:04 PM,3941,001,Y,Natan's Catering,6016208.818,2106421.254,37.764741322675,-122.387124812179,
2,Tuesday,1PM,2PM,15MFF-0119,Assessors Block 3941/Lot001,"Setup at 699 Illinois St. 9:00am-9:10am(M-F), 1:20pm-1:35pm(M-F)","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",645798,,13:00,14:00,7166000,06/07/2011 12:10:31 PM,06/07/2011 12:11:04 PM,3941,001,Y,Natan's Catering,6016208.818,2106421.254,37.764741322675,-122.387124812179,
2,Tuesday,10AM,11AM,15MFF-0079,Assessors Block 4644/Lot008,"Setup at 780 Innes Ave. 6:20am-6:30am, 10:10am-10:15am, 11:50am-12:00pm (all M-F)","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins",632692,,10:00,11:00,7253000,06/07/2011 03:53:06 PM,06/07/2011 03:53:52 PM,4644,008,Y,Park's Catering,6019956.89,2094023.408,37.7309061503597,-122.373302577485,
2,Tuesday,8AM,9AM,13MFF-0102,Assessors Block 4058/Lot010,Setup at 840 Illinois St. 12:20pm-12:30pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437197,,08:00,09:00,0,06/07/2011 10:41:07 AM,06/07/2011 10:41:28 AM,4058,010,Y,Natan's Catering,6015895.442,2105131.652,37.7611829945051,-122.388118704077,
2,Tuesday,9AM,10AM,13MFF-0102,Assessors Block 4058/Lot010,Setup at 840 Illinois St. 12:20pm-12:30pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437197,,09:00,10:00,0,06/07/2011 10:41:07 AM,06/07/2011 10:41:28 AM,4058,010,Y,Natan's Catering,6015895.442,2105131.652,37.7611829945051,-122.388118704077,
2,Tuesday,7PM,8PM,13MFF-0102,Assessors Block 4058/Lot010,Setup at 840 Illinois St. 12:20pm-12:30pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",437197,,19:00,20:00,0,06/07/2011 10:41:07 AM,06/07/2011 10:41:28 AM,4058,010,Y,Natan's Catering,6015895.442,2105131.652,37.7611829945051,-122.388118704077,
2,Tuesday,12PM,1PM,15MFF-0119,Assessors Block 4058/Lot010,Setup at 840 Illinois St. 12:20pm-12:30pm,"Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks",645785,,12:00,13:00,0,06/07/2011 10:41:07 AM,06/07/2011 10:41:28 AM,4058,010,Y,Natan's Catering,6015895.442,2105131.652,37.7611829945051,-122.388118704077,
